index,cis
1151,3.7
1152,5.0
1153,3.6
1154,2.5
1155,2.8
1156,4.2
1157,2.9
1158,2.4
1159,2.8
1160,3.9
1161,1.8
1162,4.4
1163,3.4
1164,2.5
1165,2.7
1166,2.3
1167,2.6
1168,4.1
1169,2.6
1170,4.9
1171,3.5
1172,3.8
1173,4.2
1174,5.6
1175,3.1
1176,3.1
1177,4.5
1178,4.8
1179,3.5
1180,2.4
1181,3.2
1182,4.6
1183,3.6
1184,2.5
1185,3.7
1186,2.5
1187,3.1
1188,3.5
1189,4.1
1190,2.3
1191,3.1
1192,2.4
1193,2.7
1194,2.7
1195,2.4
1196,4.2
1197,3.2
1198,2.0
1199,2.7
1200,4.0
1201,4.5
1202,3.4
1203,5.6
1204,3.5
1205,3.0
1206,2.9
1207,4.9
1208,4.8
1209,2.5
1210,2.4
1211,2.8
1212,3.9
1213,4.1
1214,5.7
1215,3.8
1216,3.2
1217,2.2
1218,5.8
1219,3.5
1220,2.7
1221,3.1
1222,3.6
1223,3.9
1224,3.4
1225,2.5
1226,3.2
1227,4.0
1228,2.9
1229,3.6
1230,1.8
1231,2.5
1232,3.5
1233,3.0
1234,3.5
1235,3.2
1236,2.9
1237,4.3
1238,2.9
1239,3.0
1240,2.2
1241,4.1
1242,2.8
1243,2.9
1244,3.9
1245,2.9
1246,4.2
1247,5.0
1248,2.4
1249,4.7
1250,2.4
1251,5.3
1252,2.6
1253,5.4
1254,3.5
1255,2.0
1256,2.6
1257,3.0
1258,3.2
1259,4.2
1260,3.7
1261,3.7
1262,3.3
1263,4.6
1264,2.7
1265,2.8
1266,3.4
1267,2.6
1268,4.5
1269,4.4
1270,4.5
1271,4.5
1272,2.8
1273,3.2
1274,3.2
1275,4.1
1276,3.0
1277,4.2
1278,4.1
1279,3.9
1280,4.0
1281,2.3
1282,4.4
1283,2.6
1284,3.9
1285,2.9
1286,2.8
1287,3.8
1288,2.5
1289,3.9
1290,3.2
1291,3.4
1292,2.8
1293,3.2
1294,2.3
1295,3.9
1296,2.3
1297,3.5
1298,3.7
1299,3.3
1300,2.8
1301,3.1
1302,2.7
1303,2.5
1304,2.8
1305,2.2
1306,3.2
1307,3.1
1308,3.8
1309,4.2
1310,4.2
1311,4.1
1312,2.6
1313,3.8
1314,2.5
1315,2.8
1316,2.8
1317,2.8
1318,2.4
1319,3.5
1320,3.9
1321,2.6
1322,2.8
1323,4.5
1324,2.2
1325,2.7
1326,2.8
1327,4.4
1328,3.8
1329,3.2
1330,2.8
1331,2.6
1332,3.9
1333,3.6
1334,3.0
1335,4.6
1336,6.5
1337,2.6
1338,4.7
1339,4.4
1340,3.1
1341,3.1
1342,3.9
1343,2.9
1344,3.2
1345,2.5
1346,1.7
1347,2.3
1348,2.9
1349,2.7
1350,4.3
1351,3.9
1352,2.9
1353,4.5
1354,3.0
1355,2.7
1356,2.6
1357,3.1
1358,3.0
1359,5.0
1360,2.5
1361,3.8
1362,4.9
1363,2.2
1364,3.6
1365,3.0
1366,2.9
1367,2.8
1368,2.9
1369,3.4
1370,3.3
1371,2.7
1372,2.5
1373,4.4
1374,3.8
1375,3.6
1376,2.8
1377,3.3
1378,4.1
1379,2.9
1380,2.6
1381,1.6
1382,3.3
1383,2.6
1384,3.6
1385,3.2
1386,4.0
1387,3.0
1388,2.3
1389,3.9
1390,3.9
1391,3.2
1392,4.7
1393,2.8
1394,3.6
1395,2.9
1396,4.1
1397,4.0
1398,3.8
1399,3.9
1400,3.3
1401,3.2
1402,4.4
1403,3.7
1404,3.7
1405,3.5
1406,2.3
1407,6.0
1408,2.4
1409,4.8
1410,1.8
1411,2.4
1412,2.2
1413,2.9
1414,2.9
1415,3.5
1416,3.6
1417,5.1
1418,3.3
1419,2.5
1420,2.7
1421,3.4
1422,2.6
1423,2.6
1424,3.5
1425,3.0
1426,2.8
1427,3.0
1428,2.9
1429,4.7
1430,3.1
1431,3.1
1432,3.0
1433,5.0
1434,2.1
1435,2.8
1436,3.1
1437,2.8
1438,2.8
1439,3.7
1440,3.3
1441,3.0
1442,2.5
1443,3.5
1444,2.0
1445,1.9
1446,2.8
1447,3.1
1448,5.3
1449,3.5
1450,2.7
1451,3.8
1452,2.1
1453,2.0
1454,3.0
1455,2.9
1456,2.8
1457,4.2
1458,3.0
1459,3.2
1460,2.2
1461,3.9
1462,5.1
1463,3.6
1464,4.1
1465,2.7
1466,3.1
1467,3.8
1468,2.8
1469,3.4
1470,4.3
1471,2.8
1472,3.8
1473,4.3
1474,3.1
1475,3.0
1476,2.4
1477,3.8
1478,3.6
1479,3.3
1480,3.5
1481,4.9
1482,3.8
1483,3.8
1484,5.1
1485,3.6
1486,3.8
1487,2.8
1488,3.9
1489,2.4
1490,3.5
1491,3.3
1492,4.7
1493,4.4
1494,4.2
1495,2.7
1496,2.9
1497,3.3
1498,3.2
1499,2.5
1500,3.6
1501,2.4
1502,3.8
1503,2.9
1504,3.5
1505,3.9
1506,5.8
1507,2.6
1508,2.9
1509,2.5
1510,3.1
1511,5.1
1512,3.9
1513,4.4
1514,3.2
1515,4.6
1516,4.2
1517,4.0
1518,2.9
1519,1.9
1520,2.9
1521,4.0
1522,2.3
1523,3.7
1524,3.2
1525,3.2
1526,4.9
1527,3.7
1528,3.4
1529,4.0
1530,3.8
1531,2.6
1532,2.9
1533,3.2
1534,3.1
1535,3.9
1536,3.2
1537,4.0
1538,4.5
1539,3.5
1540,2.2
1541,2.5
1542,3.0
1543,3.8
1544,3.2
1545,3.9
1546,2.8
1547,2.9
1548,4.6
1549,6.4
1550,2.9
1551,2.1
1552,4.9
1553,4.0
1554,2.4
1555,2.8
1556,2.8
1557,3.4
1558,4.1
1559,3.7
1560,3.2
1561,3.2
1562,1.9
1563,2.2
1564,4.0
1565,3.7
1566,1.8
1567,2.3
1568,2.5
1569,3.5
1570,3.9
1571,3.2
1572,2.9
1573,2.8
1574,4.1
1575,2.7
1576,2.8
1577,2.9
1578,2.9
1579,4.0
1580,4.8
1581,4.9
1582,4.5
1583,4.8
1584,4.8
1585,3.0
1586,3.2
1587,2.7
1588,2.6
1589,4.0
1590,4.4
1591,2.6
1592,3.5
1593,4.3
1594,2.7
1595,2.7
1596,3.7
1597,4.3
1598,3.0
1599,3.2
1600,2.6
1601,3.8
1602,3.3
1603,3.6
1604,2.6
1605,5.8
1606,3.3
1607,3.0
1608,3.7
1609,3.5
1610,3.8
1611,3.3
1612,3.1
1613,4.6
1614,2.9
1615,5.3
1616,3.0
1617,5.4
1618,3.0
1619,3.1
1620,3.6
1621,2.4
1622,4.2
1623,4.0
1624,3.5
1625,3.7
1626,2.7
1627,2.8
1628,3.8
1629,3.7
1630,2.6
1631,3.7
1632,3.1
1633,3.3
1634,3.6
1635,3.5
1636,2.8
1637,4.2
1638,2.7
1639,6.3
1640,2.8
1641,3.2
1642,3.3
1643,2.3
1644,2.9
1645,3.2
1646,3.3
1647,3.1
1648,3.2
1649,3.6
1650,2.2
1651,2.8
1652,4.2
1653,4.7
1654,3.6
1655,3.2
1656,2.9
1657,4.3
1658,4.3
1659,2.1
1660,3.6
1661,3.0
1662,3.6
1663,3.2
1664,4.6
1665,3.3
1666,2.7
1667,2.3
1668,3.9
1669,3.7
1670,2.6
1671,3.5
1672,2.6
1673,3.4
1674,3.0
1675,2.7
1676,3.4
1677,2.3
1678,3.0
1679,1.8
1680,3.0
1681,5.0
1682,2.8
1683,4.6
1684,3.6
1685,4.1
1686,3.5
1687,2.3
1688,2.9
1689,2.7
1690,4.9
1691,2.5
1692,3.4
1693,2.5
1694,3.5
1695,3.3
1696,3.2
1697,3.9
1698,4.1
1699,3.5
1700,2.7
1701,3.9
1702,2.1
1703,3.1
1704,3.8
1705,3.8
1706,2.4
1707,2.7
1708,2.6
1709,2.8
1710,4.4
1711,2.8
1712,2.4
1713,2.1
1714,2.9
1715,3.4
1716,3.2
1717,1.7
1718,2.6
1719,2.9
1720,4.4
1721,2.7
1722,2.6
1723,2.3
1724,2.9
1725,3.4
1726,4.9
1727,3.2
1728,5.0
1729,2.9
1730,3.7
1731,4.7
1732,6.7
1733,2.9
1734,4.8
1735,2.5
1736,2.8
1737,3.0
1738,2.7
1739,2.7
1740,4.5
1741,3.7
1742,3.0
1743,3.4
1744,4.1
1745,2.7
1746,4.2
1747,3.0
1748,3.8
1749,3.8
1750,3.5
1751,3.7
1752,4.3
1753,2.9
1754,3.2
1755,3.5
1756,2.9
1757,4.4
1758,2.5
1759,3.1
1760,3.1
1761,4.5
1762,2.5
1763,3.4
1764,2.1
1765,2.3
1766,2.4
1767,2.6
1768,3.6
1769,3.8
1770,2.3
1771,4.5
1772,4.7
1773,3.4
1774,2.3
1775,3.6
1776,3.7
1777,4.6
1778,4.3
1779,2.8
1780,2.8
1781,2.9
1782,3.3
1783,2.7
1784,2.4
1785,3.0
1786,4.4
1787,3.0
1788,5.5
1789,2.7
1790,3.3
1791,2.0
1792,3.8
1793,2.7
1794,1.8
1795,2.7
1796,3.7
1797,2.8
1798,3.8
1799,3.9
1800,2.9
1801,2.8
1802,3.2
1803,2.4
1804,2.7
1805,2.5
1806,3.9
1807,2.8
1808,5.0
1809,4.6
1810,4.4
1811,3.3
1812,2.9
1813,3.2
1814,3.0
1815,2.9
1816,3.6
1817,2.9
1818,2.7
1819,2.7
1820,5.8
1821,3.7
1822,2.7
1823,3.1
1824,3.0
1825,3.8
1826,2.6
1827,2.4
1828,3.1
1829,3.1
1830,4.2
1831,4.2
1832,3.7
1833,3.1
1834,3.3
1835,3.1
1836,4.4
1837,2.2
1838,3.0
1839,4.0
1840,2.1
1841,4.9
1842,4.0
1843,1.6
1844,3.9
1845,1.8
1846,3.5
1847,2.8
1848,2.7
1849,2.3
1850,2.8
1851,3.0
1852,2.8
1853,2.7
1854,2.8
1855,3.3
1856,4.0
1857,3.0
1858,3.5
1859,5.5
1860,3.7
1861,3.0
1862,3.1
1863,2.3
1864,3.6
1865,3.7
1866,4.5
1867,2.6
1868,3.6
1869,4.1
1870,2.4
1871,6.3
1872,3.0
1873,2.0
1874,3.4
1875,2.7
1876,2.5
1877,4.0
1878,2.2
1879,2.2
1880,3.5
1881,3.3
1882,3.1
1883,3.6
1884,3.4
1885,3.7
1886,3.1
1887,2.2
1888,3.8
1889,2.2
1890,2.6
1891,3.5
1892,3.2
1893,2.9
1894,3.7
1895,3.7
1896,3.8
1897,3.9
1898,3.0
1899,4.4
1900,2.7
1901,4.5
1902,2.4
1903,3.0
1904,2.6
1905,3.4
1906,4.1
1907,4.4
1908,4.0
1909,3.3
1910,3.5
1911,3.6
1912,3.1
1913,3.2
1914,3.7
1915,2.7
1916,4.9
1917,4.2
1918,3.2
1919,4.6
1920,4.4
1921,3.1
1922,2.7
1923,2.7
1924,4.1
1925,3.1
1926,4.9
1927,2.4
1928,2.3
1929,3.7
1930,2.5
1931,2.5
1932,3.5
1933,3.5
1934,3.9
1935,4.0
1936,2.9
1937,4.9
1938,3.1
1939,3.2
1940,2.6
1941,4.4
1942,2.9
1943,3.3
1944,2.5
1945,4.2
1946,3.9
1947,2.5
1948,3.0
1949,3.9
1950,3.9
1951,3.8
1952,2.2
1953,3.6
1954,2.3
1955,2.9
1956,4.6
1957,2.5
1958,3.6
1959,4.6
1960,3.0
1961,3.6
1962,4.7
1963,3.0
1964,3.3
1965,3.3
1966,3.0
1967,3.5
1968,2.9
1969,5.9
1970,3.5
1971,2.3
1972,3.9
1973,2.6
1974,4.7
1975,5.1
1976,2.7
1977,1.9
1978,3.4
1979,3.6
1980,3.3
1981,2.4
1982,4.6
1983,3.3
1984,3.6
1985,3.1
1986,2.4
1987,4.4
1988,4.0
1989,2.7
1990,3.7
1991,3.1
1992,2.2
1993,3.6
1994,3.9
1995,4.1
1996,3.9
1997,2.8
1998,4.1
1999,2.8
2000,3.0
2001,3.6
2002,3.9
2003,2.2
2004,2.8
2005,4.4
2006,3.6
2007,2.7
2008,5.3
2009,3.8
2010,3.1
2011,5.3
2012,3.3
2013,2.7
2014,3.0
2015,2.6
2016,3.5
2017,2.6
2018,3.8
2019,3.5
2020,4.4
2021,3.2
2022,3.5
2023,3.0
2024,2.3
2025,2.5
2026,3.8
2027,3.5
2028,3.1
2029,3.5
2030,3.5
2031,2.3
2032,4.0
2033,2.3
2034,2.9
2035,2.1
2036,4.2
2037,2.7
2038,2.7
2039,3.4
2040,4.3
2041,3.5
2042,3.6
2043,3.3
2044,3.2
2045,2.8
2046,2.6
2047,3.4
2048,3.5
2049,5.2
2050,3.6
2051,4.2
2052,2.3
2053,3.9
2054,3.1
2055,3.0
2056,2.8
2057,2.5
2058,4.5
2059,2.3
2060,2.4
2061,1.8
2062,2.6
2063,3.0
2064,3.2
2065,3.7
2066,2.2
2067,3.3
2068,3.0
2069,3.3
2070,1.9
2071,2.2
2072,3.1
2073,2.1
2074,2.9
2075,2.9
2076,2.5
2077,2.0
2078,4.7
2079,3.4
2080,1.8
2081,3.5
2082,3.6
2083,4.6
2084,3.8
2085,4.4
2086,3.8
2087,2.9
2088,4.2
2089,5.3
2090,2.6
2091,2.7
2092,2.6
2093,3.4
2094,3.4
2095,2.5
2096,3.5
2097,2.7
2098,4.0
2099,2.8
2100,2.6
2101,3.2
2102,2.9
2103,3.2
2104,4.1
2105,2.4
2106,2.2
2107,2.8
2108,4.0
2109,2.9
2110,2.3
2111,3.2
2112,4.5
2113,2.5
2114,2.8
2115,2.0
2116,4.5
2117,1.7
2118,3.3
2119,2.6
2120,2.9
2121,3.6
2122,2.9
2123,2.4
2124,3.5
2125,2.4
2126,3.3
2127,3.0
2128,2.6
2129,3.5
2130,2.7
2131,4.0
2132,2.8
2133,2.2
2134,5.0
2135,2.4
2136,2.1
2137,4.8
2138,4.7
2139,3.0
2140,3.5
2141,2.1
2142,2.5
2143,3.9
2144,5.4
2145,2.7
2146,4.5
2147,3.8
2148,3.2
2149,2.9
2150,3.1
2151,2.7
2152,3.3
2153,2.9
2154,2.6
2155,4.8
2156,1.8
2157,3.2
2158,3.9
2159,3.9
2160,3.5
2161,3.6
2162,5.3
2163,3.8
2164,3.0
2165,3.7
2166,5.9
2167,4.8
2168,2.4
2169,3.1
2170,2.7
2171,2.9
2172,3.7
2173,3.6
2174,2.4
2175,3.1
2176,4.3
2177,1.9
2178,2.8
2179,4.1
2180,2.6
2181,3.7
2182,3.4
2183,3.7
2184,3.5
2185,5.8
2186,3.1
2187,3.4
2188,2.4
2189,2.9
2190,4.1
2191,3.3
2192,3.0
2193,4.3
2194,4.3
2195,3.0
2196,2.1
2197,2.3
2198,3.8
2199,4.4
2200,3.3
2201,4.0
2202,3.4
2203,2.8
2204,2.3
2205,2.4
2206,4.2
2207,4.9
2208,3.4
2209,5.5
2210,4.3
2211,3.1
2212,3.3
2213,2.8
2214,2.7
2215,2.9
2216,3.6
2217,3.7
2218,2.5
2219,2.9
2220,4.6
2221,2.8
2222,2.6
2223,3.1
2224,3.1
2225,2.5
2226,2.5
2227,3.9
2228,2.5
2229,2.9
2230,3.4
2231,2.8
2232,2.5
2233,2.5
2234,3.9
2235,2.2
2236,3.2
2237,2.1
2238,2.4
2239,2.8
2240,2.9
2241,2.7
2242,3.8
2243,2.9
2244,2.7
2245,3.7
2246,3.6
2247,1.8
2248,3.1
2249,3.1
2250,3.4
2251,2.6
2252,4.4
2253,3.4
2254,3.7
2255,3.5
2256,3.3
2257,3.2
2258,2.6
2259,4.4
2260,2.7
2261,3.1
2262,2.8
2263,3.6
2264,3.6
2265,4.7
2266,2.5
2267,4.3
2268,3.6
2269,3.9
2270,3.7
2271,2.1
2272,2.9
2273,3.3
2274,3.4
2275,5.3
2276,2.9
2277,3.2
2278,3.2
2279,3.6
2280,2.5
2281,4.0
2282,2.6
2283,3.5
2284,2.3
2285,4.9
2286,4.5
2287,3.9
2288,2.1
2289,2.0
2290,3.7
2291,2.4
2292,2.8
2293,2.8
2294,2.4
2295,2.5
2296,2.4
2297,2.2
2298,4.8
2299,2.8
2300,3.7
2301,2.5
2302,2.5
2303,2.0
2304,6.2
2305,4.2
2306,3.2
2307,3.6
2308,3.2
2309,2.1
2310,3.4
2311,3.7
2312,3.0
2313,2.8
2314,2.4
2315,2.7
2316,3.6
2317,2.7
2318,2.9
2319,4.3
2320,4.6
2321,3.9
2322,3.2
2323,4.7
2324,2.8
2325,3.8
2326,2.5
2327,4.3
2328,2.8
2329,2.6
2330,3.5
2331,4.3
2332,3.0
2333,3.2
2334,2.3
2335,3.2
2336,2.9
2337,3.7
2338,4.9
2339,2.2
2340,3.4
2341,2.6
2342,4.0
2343,3.6
2344,1.9
2345,5.9
2346,4.1
2347,4.2
2348,3.7
2349,2.7
2350,3.6
2351,4.8
2352,2.8
2353,3.4
2354,5.1
2355,2.3
2356,2.8
2357,3.6
2358,3.5
2359,2.6
2360,1.8
2361,3.8
2362,4.8
2363,3.3
2364,3.4
2365,2.5
2366,3.1
2367,3.8
2368,3.3
2369,3.5
2370,4.7
2371,4.7
2372,4.2
2373,3.8
2374,2.5
2375,2.7
2376,2.3
2377,2.6
2378,2.8
2379,3.2
2380,3.5
2381,2.9
2382,1.9
2383,4.1
2384,2.4
2385,3.6
2386,3.9
2387,2.9
2388,2.4
2389,3.1
2390,4.2
2391,2.8
2392,2.2
2393,3.3
2394,5.1
2395,2.3
2396,3.5
2397,4.6
2398,3.9
2399,2.6
2400,2.9
2401,3.6
2402,4.0
2403,3.6
2404,2.8
2405,3.1
2406,3.6
2407,2.8
2408,3.0
2409,4.6
2410,2.7
2411,4.3
2412,4.3
2413,3.6
2414,2.4
2415,2.2
2416,2.4
2417,3.5
2418,3.1
2419,4.3
2420,3.5
2421,4.1
2422,3.7
2423,3.6
2424,3.5
2425,4.2
2426,3.1
2427,4.0
2428,1.9
2429,3.5
2430,2.6
2431,4.4
2432,2.6
2433,3.7
2434,3.6
2435,3.5
2436,2.4
2437,4.5
2438,3.0
2439,2.2
2440,2.7
2441,3.7
2442,3.6
2443,3.6
2444,3.1
2445,4.3
2446,3.9
2447,3.5
2448,2.6
2449,3.6
2450,3.4
2451,4.1
2452,2.9
2453,2.7
2454,2.3
2455,4.2
2456,3.0
2457,3.4
2458,4.4
2459,3.5
2460,4.7
2461,3.1
2462,3.7
2463,3.2
2464,6.1
2465,6.0
2466,6.2
2467,3.9
2468,3.5
2469,3.0
2470,2.5
2471,3.0
2472,3.4
2473,2.8
2474,2.3
2475,2.5
2476,3.0
2477,2.8
2478,4.2
2479,3.3
2480,2.9
2481,3.6
2482,3.7
2483,3.7
2484,4.3
2485,4.2
2486,4.2
2487,3.8
2488,3.4
2489,2.5
2490,2.7
2491,4.3
2492,3.4
2493,3.2
2494,2.4
2495,2.9
2496,3.0
2497,3.8
2498,3.9
2499,3.9
2500,2.4
2501,3.1
2502,3.7
2503,6.3
2504,2.0
2505,2.5
2506,3.4
2507,3.3
2508,4.1
2509,3.6
2510,3.9
2511,2.8
2512,3.6
2513,2.8
2514,4.8
2515,5.1
2516,2.9
2517,4.8
2518,3.7
2519,2.9
2520,3.0
2521,2.7
2522,2.1
2523,2.7
2524,4.8
2525,3.1
2526,1.6
2527,3.3
2528,2.8
2529,3.6
2530,2.6
2531,3.8
2532,3.1
2533,3.1
2534,6.6
2535,2.1
2536,2.4
2537,3.5
2538,3.5
2539,3.3
2540,2.6
2541,4.5
2542,2.9
2543,3.7
2544,3.2
2545,2.3
2546,2.6
2547,3.3
2548,4.0
2549,3.5
2550,2.7
2551,4.8
2552,3.5
2553,3.2
2554,3.7
2555,3.2
2556,3.8
2557,3.4
2558,3.6
2559,2.6
2560,3.0
2561,4.2
2562,3.7
2563,2.2
2564,1.9
2565,3.0
2566,5.3
2567,4.5
2568,3.9
2569,2.9
2570,4.4
2571,3.4
2572,3.6
2573,4.2
2574,3.7
2575,3.8
2576,2.1
2577,3.7
2578,2.9
2579,3.4
2580,3.1
2581,5.2
2582,4.2
2583,2.7
2584,3.2
2585,3.3
2586,3.2
2587,2.5
2588,3.5
2589,4.0
2590,3.1
2591,3.8
2592,2.2
2593,3.9
2594,3.4
2595,4.6
2596,4.8
2597,2.3
2598,2.3
2599,2.9
2600,4.1
2601,2.4
2602,2.8
2603,3.7
2604,2.4
2605,3.0
2606,2.9
2607,3.0
2608,2.4
2609,2.8
2610,2.0
2611,4.0
2612,3.3
2613,2.0
2614,3.8
2615,2.0
2616,3.0
2617,4.7
2618,1.8
2619,4.0
2620,4.2
2621,2.6
2622,4.7
2623,3.0
2624,4.3
2625,4.5
2626,2.4
2627,2.2
2628,2.0
2629,3.3
2630,2.7
2631,3.2
2632,3.0
2633,3.5
2634,4.5
2635,2.8
2636,4.2
2637,3.8
2638,4.0
2639,2.6
2640,4.4
2641,3.6
2642,2.3
2643,3.6
2644,3.9
2645,2.8
2646,2.4
2647,2.2
2648,3.6
2649,2.6
2650,2.8
2651,3.0
2652,3.2
2653,2.2
2654,2.8
2655,2.8
2656,3.2
2657,3.9
2658,5.3
2659,2.8
2660,2.9
2661,2.6
2662,3.1
2663,2.5
2664,2.8
2665,4.5
2666,2.9
2667,3.8
2668,2.6
2669,2.5
2670,2.9
2671,3.0
2672,3.3
2673,4.4
2674,2.8
2675,2.8
2676,2.5
2677,2.8
2678,3.2
2679,2.5
2680,3.8
2681,4.4
2682,4.0
2683,3.0
2684,2.9
2685,4.1
2686,4.2
2687,3.4
2688,2.9
2689,4.5
2690,3.7
2691,3.4
2692,4.8
2693,2.3
2694,3.4
2695,3.6
2696,2.9
2697,4.4
2698,3.9
2699,3.7
2700,3.6
2701,3.8
2702,3.6
2703,3.4
2704,3.3
2705,3.6
2706,3.6
2707,3.7
2708,4.1
2709,3.9
2710,2.9
2711,2.3
2712,4.8
2713,3.3
2714,2.6
2715,2.5
2716,3.0
2717,2.9
2718,6.1
2719,2.3
2720,4.4
2721,3.3
2722,2.1
2723,2.8
2724,2.9
2725,2.0
2726,4.2
2727,5.4
2728,3.5
2729,3.2
2730,4.2
2731,2.9
2732,4.4
2733,3.7
2734,3.0
2735,2.6
2736,2.8
2737,3.8
2738,3.5
2739,4.4
2740,2.0
2741,2.6
2742,3.5
2743,3.6
2744,4.7
2745,5.2
2746,4.2
2747,3.3
2748,3.6
2749,3.8
2750,5.0
2751,2.6
2752,2.5
2753,3.4
2754,2.3
2755,3.7
2756,3.5
2757,4.3
2758,1.9
2759,2.7
2760,4.1
2761,4.2
2762,4.2
2763,5.0
2764,4.0
2765,3.5
2766,2.6
2767,2.3
2768,4.2
2769,3.1
2770,3.3
2771,3.0
2772,2.6
2773,2.9
2774,3.2
2775,3.5
2776,3.6
2777,4.3
2778,4.8
2779,2.7
2780,3.4
2781,3.1
2782,4.2
2783,3.5
2784,2.5
2785,4.1
2786,2.9
2787,2.3
2788,3.8
2789,3.4
2790,4.7
2791,3.3
2792,4.0
2793,3.0
2794,3.4
2795,5.8
2796,3.1
2797,2.5
2798,2.8
2799,2.4
2800,4.5
2801,3.0
2802,4.5
2803,3.6
2804,3.2
2805,3.8
2806,3.1
2807,3.3
2808,3.4
2809,3.0
2810,2.6
2811,3.0
2812,2.7
2813,2.7
2814,4.0
2815,2.7
2816,4.6
2817,2.3
2818,2.7
2819,2.9
2820,2.4
2821,4.5
2822,4.6
2823,3.1
2824,3.2
2825,2.6
2826,4.7
2827,5.0
2828,4.2
2829,5.2
2830,3.3
2831,3.7
2832,3.7
2833,5.0
2834,2.8
2835,2.8
2836,3.0
2837,2.9
2838,2.1
2839,2.3
2840,2.0
2841,3.8
2842,2.9
2843,2.7
2844,2.6
2845,3.3
2846,3.1
2847,3.5
2848,3.8
2849,2.9
2850,3.5
2851,3.0
2852,2.7
2853,2.7
2854,3.1
2855,2.5
2856,5.7
2857,3.7
2858,4.1
2859,4.2
2860,2.7
2861,4.7
2862,2.5
2863,3.2
2864,3.3
2865,2.0
2866,3.2
2867,4.3
2868,5.1
2869,2.5
2870,2.9
2871,3.0
2872,3.1
2873,2.4
2874,2.3
2875,2.8
2876,4.1
2877,3.7
2878,4.2
2879,3.2
2880,2.7
2881,3.1
2882,4.8
2883,4.4
2884,3.5
2885,3.0
2886,2.9
2887,5.3
2888,2.1
2889,2.6
2890,3.2
2891,3.5
2892,2.5
2893,3.3
2894,3.2
2895,3.0
2896,2.9
2897,3.2
2898,3.5
2899,2.5
2900,3.0
2901,3.8
2902,4.3
2903,3.0
2904,3.6
2905,2.2
2906,2.7
2907,2.5
2908,2.6
2909,3.3
2910,3.6
2911,3.9
2912,2.9
2913,2.8
2914,2.8
2915,5.0
2916,3.6
2917,3.3
2918,4.4
2919,2.9
2920,2.8
2921,5.0
2922,4.1
2923,3.4
2924,3.6
2925,3.5
2926,3.6
2927,2.0
2928,3.4
2929,3.5
2930,3.4
2931,3.2
2932,2.7
2933,3.1
2934,2.8
2935,3.8
2936,2.8
2937,3.7
2938,2.5
2939,2.8
2940,2.9
2941,3.3
2942,5.0
2943,4.3
2944,2.4
2945,2.7
2946,2.5
2947,3.8
2948,4.5
2949,5.2
2950,3.0
2951,5.2
2952,2.9
2953,5.5
2954,3.0
2955,3.0
2956,2.7
2957,3.8
2958,2.4
2959,2.8
2960,2.7
2961,2.7
2962,4.9
2963,4.2
2964,4.0
2965,3.9
2966,2.9
2967,2.6
2968,3.5
2969,3.1
2970,3.6
2971,3.9
2972,4.1
2973,2.8
2974,2.3
2975,3.8
2976,4.6
2977,2.7
2978,3.9
2979,3.4
2980,3.0
2981,2.8
2982,5.1
2983,3.0
2984,2.4
2985,2.9
2986,2.9
2987,2.3
2988,2.6
2989,3.9
2990,3.9
2991,3.4
2992,3.2
2993,5.7
2994,3.0
2995,2.1
2996,3.0
2997,3.1
2998,2.5
